 ,mm/dd/yyyy ,Bacayao Norte ,Aggravated Assault , ,
 ,mm/dd/yyyy ,Bacayao Norte ,Aggravated Assault , ,
 ,mm/dd/yyyy ,Bacayao Norte ,Aggravated Assault , ,
 ,mm/dd/yyyy ,Bacayao Norte ,Aggravated Assault , ,
 ,mm/dd/yyyy ,Bacayao Norte ,Aggravated Assault , ,
 ,mm/dd/yyyy ,Bacayao Norte ,Aggravated Assault , ,
 ,mm/dd/yyyy ,Bacayao Norte ,Aggravated Assault , ,
 ,mm/dd/yyyy ,Bacayao Norte ,Aggravated Assault , ,
 ,mm/dd/yyyy ,Bacayao Norte ,Aggravated Assault , ,
 ,mm/dd/yyyy ,Bacayao Norte ,Aggravated Assault , ,
 ,mm/dd/yyyy ,Bacayao Norte ,Aggravated Assault , ,
 ,mm/dd/yyyy ,Bacayao Norte ,Aggravated Assault , ,
 ,mm/dd/yyyy ,Bacayao Norte ,Aggravated Assault , ,
 ,mm/dd/yyyy ,Bacayao Norte ,Aggravated Assault , ,
 ,mm/dd/yyyy ,Bacayao Norte ,Aggravated Assault , ,
